target_id	length	eff_length	est_counts	tpm
OG001_t1	2427	2277.000	1104	15109.192321
OG001_t2	1323	1173.000	894	23750.606983
OG002_t1	1783	1633.000	68	1297.651086
OG002_t2	1567	1417.000	81	1781.354582
OG003_t1	1167	1017.000	45	1378.880936
OG003_t2	1707	1557.000	44	880.641749
OG004_t1	1023	873.000	466	16634.390000
OG004_t2	725	575.000	459	24875.971314
OG005_t1	2044	1894.000	2280	37513.715359
OG005_t2	827	677.000	1632	75121.922235
OG006_t1	827	677.000	1242	57169.992289
OG006_t2	1696	1546.000	1246	25115.611653
OG007_t1	1210	1060.000	438	12876.666616
OG007_t2	2609	2459.000	347	4397.503082
OG008_t1	2558	2408.000	24	310.591786
OG008_t2	2577	2427.000	16	205.440192
OG009_t1	905	755.000	80	3302.008918
OG009_t2	2575	2425.000	68	873.840917
OG010_t1	1955	1805.000	28	483.410447
OG010_t2	1054	904.000	30	1034.160702
OG011_t1	2327	2177.000	7	100.201637
OG011_t2	1316	1166.000	10	267.261657
OG012_t1	1036	886.000	160	5627.577275
OG012_t2	2242	2092.000	100	1489.613249
OG013_t1	2588	2438.000	13	166.167030
OG013_t2	952	802.000	10	388.562458
OG014_t1	1142	992.000	52	1633.529109
OG014_t2	2198	2048.000	79	1202.077160
OG015_t1	2265	2115.000	5	73.670707
OG015_t2	1405	1255.000	4	99.323376
OG016_t1	919	769.000	53	2147.754988
OG016_t2	2495	2345.000	36	478.404064
OG017_t1	1719	1569.000	51	1012.937009
OG017_t2	1730	1580.000	37	729.759645
OG018_t1	1360	1210.000	44	1133.189424
OG018_t2	1160	1010.000	43	1326.729202
OG019_t1	1339	1189.000	4	104.836700
OG019_t2	1805	1655.000	4	75.317726
OG020_t1	2029	1879.000	61	1011.668578
OG020_t2	1723	1573.000	62	1228.282243
OG021_t1	2057	1907.000	100	1634.122138
OG021_t2	1565	1415.000	83	1827.918629
OG022_t1	1342	1192.000	42	1098.014920
OG022_t2	1444	1294.000	70	1685.772520
OG023_t1	1117	967.000	5	161.130864
OG023_t2	1826	1676.000	7	130.154513
OG024_t1	1937	1787.000	7	122.069930
OG024_t2	1133	983.000	7	221.911459
OG025_t1	1709	1559.000	47	939.478724
OG025_t2	1187	1037.000	51	1532.592254
OG026_t1	2235	2085.000	38	567.953452
OG026_t2	1654	1504.000	34	704.476138
OG027_t1	2298	2148.000	5	72.538895
OG027_t2	2439	2289.000	4	54.456460
OG028_t1	855	705.000	13	574.631516
OG028_t2	1225	1075.000	12	347.862800
OG029_t1	2359	2209.000	29	409.107544
OG029_t2	2053	1903.000	21	343.886964
OG030_t1	2617	2467.000	3	37.895471
OG030_t2	1216	1066.000	3	87.699932
OG031_t1	2561	2411.000	87	1124.494275
OG031_t2	1291	1141.000	93	2539.992947
OG032_t1	1959	1809.000	112	1929.366184
OG032_t2	2011	1861.000	107	1791.730188
OG033_t1	1983	1833.000	13	221.012122
OG033_t2	2408	2258.000	13	179.413295
OG034_t1	1062	912.000	64	2186.856783
OG034_t2	1481	1331.000	55	1287.715255
OG035_t1	2304	2154.000	12	173.608408
OG035_t2	1353	1203.000	9	233.137475
OG036_t1	1889	1739.000	9	161.279116
OG036_t2	1911	1761.000	8	141.568242
OG037_t1	943	793.000	71	2790.103847
OG037_t2	1317	1167.000	71	1895.931749
OG038_t1	2518	2368.000	5	65.799639
OG038_t2	1841	1691.000	4	73.714274
OG039_t1	1840	1690.000	25	460.986822
OG039_t2	940	790.000	29	1143.947552
OG040_t1	747	597.000	202	10544.166249
OG040_t2	1879	1729.000	233	4199.485966
OG041_t1	1882	1732.000	359	6459.245144
OG041_t2	2287	2137.000	471	6868.336928
OG042_t1	1550	1400.000	419	9326.553671
OG042_t2	843	693.000	321	14434.674807
OG043_t1	2633	2483.000	3	37.651280
OG043_t2	2590	2440.000	2	25.543204
OG044_t1	1972	1822.000	104	1778.771544
OG044_t2	797	647.000	108	5201.812349
OG045_t1	945	795.000	3	117.595129
OG045_t2	950	800.000	5	194.766932
OG046_t1	1733	1583.000	3	59.057566
OG046_t2	879	729.000	4	170.988802
OG047_t1	1776	1626.000	42	804.940827
OG047_t2	1905	1755.000	50	887.826472
OG048_t1	2179	2029.000	503	7725.403011
OG048_t2	1550	1400.000	308	6855.796016
OG049_t1	869	719.000	108	4680.907635
