target_id	length	eff_length	est_counts	tpm
OG001_t1	2427	2277.000	696	9113.231765
OG001_t2	1323	1173.000	794	20181.279471
OG002_t1	1783	1633.000	63	1150.219089
OG002_t2	1567	1417.000	53	1115.147270
OG003_t1	1167	1017.000	38	1114.009386
OG003_t2	1707	1557.000	40	765.944999
OG004_t1	1023	873.000	352	12021.388317
OG004_t2	725	575.000	284	14725.725534
OG005_t1	2044	1894.000	2093	32946.968443
OG005_t2	827	677.000	1615	71122.999533
OG006_t1	827	677.000	1896	83497.961062
OG006_t2	1696	1546.000	1974	38068.333472
OG007_t1	1210	1060.000	329	9253.717539
OG007_t2	2609	2459.000	427	5177.207272
OG008_t1	2558	2408.000	23	284.772180
OG008_t2	2577	2427.000	24	294.827284
OG009_t1	905	755.000	78	3080.164118
OG009_t2	2575	2425.000	85	1045.041143
OG010_t1	1955	1805.000	28	462.494989
OG010_t2	1054	904.000	26	857.494067
OG011_t1	2327	2177.000	11	150.646991
OG011_t2	1316	1166.000	8	204.558553
OG012_t1	1036	886.000	121	4071.719526
OG012_t2	2242	2092.000	117	1667.440661
OG013_t1	2588	2438.000	10	122.290439
OG013_t2	952	802.000	8	297.400589
OG014_t1	1142	992.000	64	1923.510264
OG014_t2	2198	2048.000	61	888.026833
OG015_t1	2265	2115.000	5	70.483237
OG015_t2	1405	1255.000	5	118.782506
OG016_t1	919	769.000	49	1899.747784
OG016_t2	2495	2345.000	35	444.991180
OG017_t1	1719	1569.000	46	874.099948
OG017_t2	1730	1580.000	44	830.274684
OG018_t1	1360	1210.000	72	1774.080541
OG018_t2	1160	1010.000	57	1682.595365
OG019_t1	1339	1189.000	5	125.375984
OG019_t2	1805	1655.000	6	108.088492
OG020_t1	2029	1879.000	54	856.827084
OG020_t2	1723	1573.000	41	777.107929
OG021_t1	2057	1907.000	84	1313.272346
OG021_t2	1565	1415.000	93	1959.533601
OG022_t1	1342	1192.000	52	1300.628585
OG022_t2	1444	1294.000	53	1221.146586
OG023_t1	1117	967.000	8	246.654884
OG023_t2	1826	1676.000	6	106.734161
OG024_t1	1937	1787.000	7	116.788396
OG024_t2	1133	983.000	7	212.310136
OG025_t1	1709	1559.000	52	994.451105
OG025_t2	1187	1037.000	33	948.770974
OG026_t1	2235	2085.000	38	543.380118
OG026_t2	1654	1504.000	30	594.702309
OG027_t1	2298	2148.000	6	83.280472
OG027_t2	2439	2289.000	6	78.150483
OG028_t1	855	705.000	12	507.479304
OG028_t2	1225	1075.000	11	305.077674
OG029_t1	2359	2209.000	19	256.439010
OG029_t2	2053	1903.000	21	329.008193
OG030_t1	2617	2467.000	4	48.341158
OG030_t2	1216	1066.000	3	83.905466
OG031_t1	2561	2411.000	65	803.789544
OG031_t2	1291	1141.000	81	2116.535615
OG032_t1	1959	1809.000	135	2224.955902
OG032_t2	2011	1861.000	187	2995.859484
OG033_t1	1983	1833.000	15	243.980434
OG033_t2	2408	2258.000	11	145.242914
OG034_t1	1062	912.000	42	1373.031998
OG034_t2	1481	1331.000	44	985.600301
OG035_t1	2304	2154.000	10	138.414155
OG035_t2	1353	1203.000	11	272.617207
OG036_t1	1889	1739.000	9	154.301140
OG036_t2	1911	1761.000	7	118.512699
OG037_t1	943	793.000	77	2894.967844
OG037_t2	1317	1167.000	55	1405.134962
OG038_t1	2518	2368.000	5	62.952722
OG038_t2	1841	1691.000	4	70.524918
OG039_t1	1840	1690.000	31	546.891528
OG039_t2	940	790.000	30	1132.192750
OG040_t1	747	597.000	251	12535.036319
OG040_t2	1879	1729.000	292	5035.169147
OG041_t1	1882	1732.000	386	6644.550756
OG041_t2	2287	2137.000	403	5622.464607
OG042_t1	1550	1400.000	382	8135.074481
