target_id	length	eff_length	est_counts	tpm
OG001_t1	2427	2277.000	134	1874.476431
OG001_t2	1323	1173.000	116	3149.910350
OG002_t1	1783	1633.000	10	195.052729
OG002_t2	1567	1417.000	7	157.349876
OG003_t1	1167	1017.000	5	156.598381
OG003_t2	1707	1557.000	6	122.744165
OG004_t1	1023	873.000	55	2006.719460
OG004_t2	725	575.000	47	2603.563831
OG005_t1	2044	1894.000	353	5936.533831
OG005_t2	827	677.000	337	15855.481987
OG006_t1	827	677.000	290	13644.183313
OG006_t2	1696	1546.000	253	5212.538167
OG007_t1	1210	1060.000	3139	94324.316493
OG007_t2	2609	2459.000	3034	39300.245571
OG008_t1	2558	2408.000	165	2182.557419
OG008_t2	2577	2427.000	182	2388.580201
OG009_t1	905	755.000	584	24637.924037
OG009_t2	2575	2425.000	459	6028.914973
OG010_t1	1955	1805.000	140	2470.523821
OG010_t2	1054	904.000	215	7575.446682
OG011_t1	2327	2177.000	73	1068.077208
OG011_t2	1316	1166.000	75	2048.806434
OG012_t1	1036	886.000	916	32930.624605
OG012_t2	2242	2092.000	787	11982.605698
OG013_t1	2588	2438.000	10	130.648526
OG013_t2	952	802.000	10	397.158488
OG014_t1	1142	992.000	44	1412.795233
OG014_t2	2198	2048.000	74	1150.906344
OG015_t1	2265	2115.000	3	45.180299
OG015_t2	1405	1255.000	5	126.900839
OG016_t1	919	769.000	33	1366.865609
OG016_t2	2495	2345.000	42	570.485565
OG017_t1	1719	1569.000	29	588.726074
OG017_t2	1730	1580.000	44	887.020804
OG018_t1	1360	1210.000	59	1553.119447
OG018_t2	1160	1010.000	72	2270.645515
OG019_t1	1339	1189.000	5	133.944957
OG019_t2	1805	1655.000	6	115.475930
OG020_t1	2029	1879.000	46	779.774929
OG020_t2	1723	1573.000	42	850.469580
OG021_t1	2057	1907.000	62	1035.569409
OG021_t2	1565	1415.000	100	2251.032558
OG022_t1	1342	1192.000	51	1362.800038
OG022_t2	1444	1294.000	49	1206.146387
OG023_t1	1117	967.000	6	197.634606
OG023_t2	1826	1676.000	8	152.038715
OG024_t1	1937	1787.000	7	124.770439
OG024_t2	1133	983.000	9	291.626649
OG025_t1	1709	1559.000	34	694.657963
OG025_t2	1187	1037.000	55	1689.359777
OG026_t1	2235	2085.000	31	473.580543
OG026_t2	1654	1504.000	24	508.278362
OG027_t1	2298	2148.000	5	74.143647
OG027_t2	2439	2289.000	3	41.745886
OG028_t1	855	705.000	12	542.163586
OG028_t2	1225	1075.000	12	355.558445
OG029_t1	2359	2209.000	25	360.481108
OG029_t2	2053	1903.000	26	435.183856
OG030_t1	2617	2467.000	4	51.645092
OG030_t2	1216	1066.000	4	119.520115
OG031_t1	2561	2411.000	68	898.358991
OG031_t2	1291	1141.000	92	2568.268347
OG032_t1	1959	1809.000	191	3363.047619
OG032_t2	2011	1861.000	120	2053.870652
OG033_t1	1983	1833.000	14	243.278532
OG033_t2	2408	2258.000	14	197.488729
OG034_t1	1062	912.000	59	2060.608039
OG034_t2	1481	1331.000	49	1172.617148
OG035_t1	2304	2154.000	8	118.299390
OG035_t2	1353	1203.000	8	211.817860
OG036_t1	1889	1739.000	9	164.847036
OG036_t2	1911	1761.000	6	108.525079
OG037_t1	943	793.000	65	2610.828746
OG037_t2	1317	1167.000	66	1801.404718
OG038_t1	2518	2368.000	4	53.804241
OG038_t2	1841	1691.000	5	94.181285
OG039_t1	1840	1690.000	20	376.948056
OG039_t2	940	790.000	30	1209.573824
OG040_t1	747	597.000	220	11737.796237
OG040_t2	1879	1729.000	202	3721.299226
OG041_t1	1882	1732.000	391	7190.632381
OG041_t2	2287	2137.000	343	5112.435175
OG042_t1	1550	1400.000	413	9396.372656
OG042_t2	843	693.000	339	15581.335537
OG043_t1	2633	2483.000	3	38.484226
OG043_t2	2590	2440.000	3	39.162431
OG044_t1	1972	1822.000	72	1258.700313
OG044_t2	797	647.000	115	5661.503447
OG045_t1	945	795.000	3	120.196644
OG045_t2	950	800.000	4	159.260553
OG046_t1	1733	1583.000	3	60.364076
OG046_t2	879	729.000	3	131.078645
OG047_t1	1776	1626.000	48	940.283711
OG047_t2	1905	1755.000	52	943.766243
OG048_t1	2179	2029.000	336	5274.671855
OG048_t2	1550	1400.000	355	8076.785213
OG049_t1	869	719.000	86	3809.849124
OG049_t2	1397	1247.000	152	3882.534744
OG050_t1	2560	2410.000	162	2141.096238
OG050_t2	2538	2388.000	229	3054.494703
OG051_t1	1797	1647.000	179	3461.765522
OG051_t2	1383	1233.000	252	6509.920435
OG052_t1	729	579.000	24	1320.294744
OG052_t2	1844	1694.000	33	620.495663
OG053_t1	2174	2024.000	4	62.948835
OG053_t2	879	729.000	3	131.078645
OG054_t1	750	600.000	22	1167.910726
OG054_t2	2659	2509.000	27	342.768828
OG055_t1	1864	1714.000	66	1226.510680
OG055_t2	1407	1257.000	59	1495.047360
OG056_t1	966	816.000	277	10812.542480
OG056_t2	1491	1341.000	287	6816.969255
OG057_t1	1575	1425.000	282	6303.365065
OG057_t2	1671	1521.000	284	5947.402655
OG058_t1	1157	1007.000	23	727.506004
OG058_t2	1251	1101.000	23	665.393775
OG059_t1	1930	1780.000	153	2737.849965
OG059_t2	1203	1053.000	112	3387.878821
OG060_t1	2501	2351.000	5	67.741622
OG060_t2	2554	2404.000	4	52.998520
OG061_t1	1697	1547.000	39	802.994387
OG061_t2	2098	1948.000	39	637.696261
OG062_t1	1161	1011.000	237	7466.815268
OG062_t2	1527	1377.000	277	6407.432581
OG063_t1	1905	1755.000	4	72.597403
OG063_t2	774	624.000	6	306.270295
OG064_t1	1594	1444.000	5	110.291242
OG064_t2	1953	1803.000	6	105.997041
OG065_t1	953	803.000	6	237.998336
OG065_t2	2430	2280.000	7	97.791568
OG066_t1	1701	1551.000	64	1314.335967
OG066_t2	1280	1130.000	43	1212.071469
OG067_t1	1462	1312.000	13	315.607804
OG067_t2	2540	2390.000	12	159.926916
OG068_t1	808	658.000	215	10407.604560
OG068_t2	2501	2351.000	145	1964.507040
OG069_t1	2168	2018.000	26	410.383983
OG069_t2	2169	2019.000	29	457.509267
OG070_t1	1545	1395.000	38	867.656062
OG070_t2	2598	2448.000	26	338.298561
OG071_t1	1077	927.000	52	1786.741916
OG071_t2	1810	1660.000	43	825.084795
OG072_t1	1089	939.000	77	2611.940920
OG072_t2	1030	880.000	109	3945.318257
OG073_t1	2030	1880.000	202	3422.407639
OG073_t2	978	828.000	189	7270.590486
OG074_t1	2096	1946.000	80	1309.439289
OG074_t2	1690	1540.000	79	1633.971912
OG075_t1	754	604.000	3	158.205848
OG075_t2	2220	2070.000	2	30.774986
OG076_t1	862	712.000	42	1878.916642
OG076_t2	743	593.000	29	1557.691754
OG077_t1	2092	1942.000	6	98.410229
OG077_t2	1252	1102.000	5	144.519559
OG078_t1	1597	1447.000	323	7110.042678
OG078_t2	2377	2227.000	285	4076.269218
OG079_t1	925	775.000	10	410.994977
OG079_t2	1788	1638.000	10	194.457330
OG080_t1	1566	1416.000	11	247.438713
OG080_t2	1912	1762.000	11	198.849726
OG081_t1	1855	1705.000	41	765.945184
OG081_t2	1242	1092.000	44	1283.418380
OG082_t1	1961	1811.000	208	3658.331875
OG082_t2	1069	919.000	227	7867.713959
OG083_t1	1250	1100.000	307	8889.634531
OG083_t2	1353	1203.000	461	12206.004183
OG084_t1	2247	2097.000	80	1215.149669
OG084_t2	2686	2536.000	72	904.318600
OG085_t1	982	832.000	10	382.837869
OG085_t2	1330	1180.000	10	269.933142
OG086_t1	2210	2060.000	66	1020.504518
OG086_t2	1911	1761.000	80	1447.001054
OG087_t1	1458	1308.000	4	97.407066
OG087_t2	2612	2462.000	3	38.812483
OG088_t1	1771	1621.000	396	7781.268252
OG088_t2	2576	2426.000	402	5278.049671
OG089_t1	2109	1959.000	3	48.778117
OG089_t2	1100	950.000	3	100.585613
OG090_t1	2539	2389.000	148	1973.257590
OG090_t2	1966	1816.000	233	4086.752089
OG091_t1	786	636.000	132	6610.815428
OG091_t2	1731	1581.000	112	2256.443010
OG092_t1	2330	2180.000	69	1008.163137
OG092_t2	1905	1755.000	70	1270.454558
OG093_t1	1805	1655.000	85	1635.909009
OG093_t2	1239	1089.000	110	3217.384919
OG094_t1	1807	1657.000	33	634.351028
OG094_t2	1114	964.000	36	1189.497910
OG095_t1	1487	1337.000	85	2025.003298
OG095_t2	2363	2213.000	113	1626.429511
OG096_t1	1052	902.000	62	2189.391201
OG096_t2	1385	1235.000	65	1676.426879
OG097_t1	1373	1223.000	63	1640.787387
OG097_t2	2166	2016.000	47	742.583930
OG098_t1	2691	2541.000	8	100.282127
OG098_t2	1607	1457.000	12	262.337219
OG099_t1	1967	1817.000	3	52.590166
OG099_t2	2692	2542.000	3	37.591004
OG100_t1	1423	1273.000	43	1075.915758
OG100_t2	2392	2242.000	43	610.901320
OG101_t1	1228	1078.000	12	354.568950
OG101_t2	916	766.000	15	623.735849
OG102_t1	2165	2015.000	141	2228.857374
OG102_t2	2535	2385.000	192	2564.195075
OG103_t1	1441	1291.000	66	1628.380562
OG103_t2	1606	1456.000	74	1618.857275
OG104_t1	2350	2200.000	12	173.738786
OG104_t2	2455	2305.000	8	110.549625
OG105_t1	2280	2130.000	4	59.816170
OG105_t2	863	713.000	6	268.040202
OG106_t1	1251	1101.000	114	3298.038710
OG106_t2	788	638.000	146	7289.041006
OG107_t1	975	825.000	25	965.215476
OG107_t2	1014	864.000	29	1069.110197
OG108_t1	1095	945.000	319	10752.193982
OG108_t2	2014	1864.000	234	3998.601880
OG109_t1	1008	858.000	13	482.607738
OG109_t2	2091	1941.000	17	278.972634
OG110_t1	2419	2269.000	22	308.834921
OG110_t2	2212	2062.000	16	247.155078
OG111_t1	1194	1044.000	163	4973.078586
OG111_t2	2381	2231.000	142	2027.341873
OG112_t1	878	728.000	190	8313.050869
OG112_t2	1217	1067.000	148	4418.099703
OG113_t1	2648	2498.000	17	216.767767
OG113_t2	2594	2444.000	23	299.753906
OG114_t1	1412	1262.000	55	1388.166473
OG114_t2	742	592.000	51	2744.016293
OG115_t1	805	655.000	219	10649.789684
OG115_t2	1499	1349.000	223	5265.397098
OG116_t1	1316	1166.000	235	6419.593494
OG116_t2	2333	2183.000	230	3355.925543
OG117_t1	1356	1206.000	57	1505.448018
OG117_t2	1324	1174.000	52	1410.826028
OG118_t1	1746	1596.000	64	1277.277622
OG118_t2	2286	2136.000	46	685.953695
OG119_t1	926	776.000	5	205.232672
OG119_t2	836	686.000	6	278.589889
OG120_t1	2177	2027.000	3	47.141752
OG120_t2	1393	1243.000	4	102.500758
OG121_t1	1350	1200.000	149	3954.970412
OG121_t2	1774	1624.000	181	3550.019727
OG122_t1	1645	1495.000	9	191.751837
OG122_t2	2435	2285.000	6	83.637927
OG123_t1	1782	1632.000	166	3239.859299
OG123_t2	1360	1210.000	234	6159.829672
OG124_t1	2366	2216.000	26	373.716100
OG124_t2	1581	1431.000	30	667.759134
OG125_t1	1304	1154.000	40	1104.059296
OG125_t2	963	813.000	33	1292.890102
OG126_t1	1580	1430.000	8	178.193626
OG126_t2	746	596.000	10	534.431388
OG127_t1	1712	1562.000	46	938.026307
OG127_t2	888	738.000	52	2244.322163
OG128_t1	1229	1079.000	62	1830.241764
OG128_t2	1536	1386.000	96	2206.206802
OG129_t1	895	745.000	3	128.263533
OG129_t2	1335	1185.000	4	107.517673
OG130_t1	1882	1732.000	16	294.245826
OG130_t2	2037	1887.000	17	286.955952
OG131_t1	1189	1039.000	26	797.069180
OG131_t2	1424	1274.000	32	800.053016
OG132_t1	1644	1494.000	397	8464.048158
OG132_t2	2368	2218.000	353	5069.339530
OG133_t1	1970	1820.000	18	315.020875
OG133_t2	2177	2027.000	14	219.994844
OG134_t1	864	714.000	99	4416.469130
OG134_t2	2115	1965.000	64	1037.422435
