target_id	length	eff_length	est_counts	tpm
OG001_t1	2427	2277.000	155	2279.024969
OG001_t2	1323	1173.000	163	4652.324595
OG002_t1	1783	1633.000	7	143.513340
OG002_t2	1567	1417.000	11	259.898187
OG003_t1	1167	1017.000	5	164.599862
OG003_t2	1707	1557.000	5	107.513205
OG004_t1	1023	873.000	45	1725.753194
OG004_t2	725	575.000	53	3085.946842
OG005_t1	2044	1894.000	325	5744.917576
OG005_t2	827	677.000	230	11374.166546
OG006_t1	827	677.000	269	13302.829569
OG006_t2	1696	1546.000	321	6951.458888
OG007_t1	1210	1060.000	3041	96048.584887
OG007_t2	2609	2459.000	2658	36189.023424
OG008_t1	2558	2408.000	138	1918.682081
OG008_t2	2577	2427.000	102	1407.054149
OG009_t1	905	755.000	385	17072.384908
OG009_t2	2575	2425.000	496	6847.788674
OG010_t1	1955	1805.000	190	3524.169680
OG010_t2	1054	904.000	145	5370.070503
OG011_t1	2327	2177.000	68	1045.757287
OG011_t2	1316	1166.000	42	1205.955148
OG012_t1	1036	886.000	1139	43039.817185
OG012_t2	2242	2092.000	650	10402.365094
OG013_t1	2588	2438.000	11	151.056494
OG013_t2	952	802.000	9	375.706369
OG014_t1	1142	992.000	47	1586.231615
OG014_t2	2198	2048.000	45	735.636005
OG015_t1	2265	2115.000	3	47.488811
OG015_t2	1405	1255.000	5	133.384908
OG016_t1	919	769.000	35	1523.779478
OG016_t2	2495	2345.000	57	813.790142
OG017_t1	1719	1569.000	41	874.865577
OG017_t2	1730	1580.000	30	635.688835
OG018_t1	1360	1210.000	65	1798.491552
OG018_t2	1160	1010.000	49	1624.258402
OG019_t1	1339	1189.000	4	112.631159
OG019_t2	1805	1655.000	6	121.376237
OG020_t1	2029	1879.000	39	694.893489
OG020_t2	1723	1573.000	48	1021.628337
OG021_t1	2057	1907.000	73	1281.600248
OG021_t2	1565	1415.000	70	1656.235221
OG022_t1	1342	1192.000	65	1825.649981
OG022_t2	1444	1294.000	59	1526.504719
OG023_t1	1117	967.000	7	242.354999
OG023_t2	1826	1676.000	7	139.831315
OG024_t1	1937	1787.000	7	131.145654
OG024_t2	1133	983.000	7	238.410258
OG025_t1	1709	1559.000	42	901.952343
OG025_t2	1187	1037.000	32	1033.122066
OG026_t1	2235	2085.000	25	401.434196
OG026_t2	1654	1504.000	40	890.415212
OG027_t1	2298	2148.000	4	62.345646
OG027_t2	2439	2289.000	4	58.505220
OG028_t1	855	705.000	12	569.865736
OG028_t2	1225	1075.000	14	436.013551
OG029_t1	2359	2209.000	23	348.588083
OG029_t2	2053	1903.000	30	527.792096
OG030_t1	2617	2467.000	2	27.141963
OG030_t2	1216	1066.000	3	94.220296
OG031_t1	2561	2411.000	80	1110.895461
OG031_t2	1291	1141.000	88	2582.126076
